data.fullpath,data.thirdpartydataproviderid,data.Relevance,data.BidFactor,data.eCPM,data.eSpend,data.audiencesize
interests > online games > casual games > strong affinity,DataAlliance,491.12,7.2,2.18,20,0
B2B Demo > Professional Groups,bluekai,358.26,6.88,5.11,17,203144000
Intent > Auto- Buyers > Make > ~VW,exelate,332.52,6.81,1.26,5,1
interests > online games > casual games > affinity,DataAlliance,323.29,6.78,1.79,51,0
Custom Categories > Valentine's Day,bluekai,309.84,6.74,3.38,11,146609800
Geographic > IP based > Country > United Kingdom > England > Greater London,bluekai,260.91,6.56,4.3,22,5933120
Geographic > IP based > Country > Europe,bluekai,217.27,6.38,1.39,10,255252200
International Audiences > LEN FRA > France Xbox 360 Users,lotame,196.06,6.28,2.35,10,0
Audience - Interests > Business > Energy & Utilities > Confident,DataAlliance,172.68,6.15,2.72,13,0
US > Premium > Health >  Health and Beauty >  Fitness,addthis,168.13,6.12,2.16,8,0
singapore > health & fitness,lotame,160.55,6.08,0.63,5,0
singapore > automobiles,lotame,154.81,6.04,1.47,9,0
Geographic > IP based > Country > United Kingdom,bluekai,144.47,5.97,4.46,95,83654600
Business / B2B > Company Size > Micro (1-9 Employees),eyeota,143.06,5.96,2.57,18,0
B2B Demo,bluekai,138.59,5.93,1.16,9,215982200
B2B Predictive Signals,bluekai,133.39,5.89,1.14,8,132004600
interests > online games > casual games > extreme,DataAlliance,127.31,5.85,2.27,19,0
Branded Data > US SMS-INC > Demo > Education Level > Bachelors Degree,eyeota,124.04,5.82,5.04,38,0
interests > career development > affinity,DataAlliance,113.19,5.73,3.02,25,0
Global > B2B Predictive Signals > Manufacturing > Supply Chain,eyeota,104.38,5.65,1.89,13,0
B2B Demo > Company Size > Micro (1 - 9 Employees),bluekai,95.33,5.56,9.7,46,10359200
singapore > school & education,lotame,83.62,5.43,1.92,20,0
Business to Business (B2B) > Company Revenue > $50-100 Million,lotame,83.53,5.43,5.65,19,0
Audience - Interests > Games & Toys > Online Games > Confident,DataAlliance,81.32,5.4,16.89,507,0
