hour_of_week.dayofweek,hour_of_week.hour,hour_of_week.fires
Wednesday,13,123
Wednesday,12,122
Friday,13,116
Wednesday,15,116
Wednesday,14,113
Thursday,14,112
Thursday,12,111
Thursday,17,109
Monday,12,106
Friday,15,105
Thursday,18,104
Friday,12,104
Monday,11,102
Tuesday,13,100
Tuesday,14,100
Wednesday,18,99
Wednesday,19,98
Monday,6,97
Thursday,15,95
Thursday,16,95
Wednesday,17,95
Wednesday,5,95
Wednesday,11,94
Tuesday,20,94
Tuesday,15,91
Friday,18,90
Tuesday,19,90
Tuesday,12,90
Tuesday,18,89
Monday,18,88
Thursday,13,88
Monday,7,87
Thursday,6,87
Thursday,11,87
Friday,11,87
Wednesday,20,87
Tuesday,17,86
Monday,10,85
Tuesday,16,85
Thursday,10,85
Wednesday,16,84
Thursday,7,83
Friday,10,83
Monday,9,82
Monday,14,82
Friday,16,82
Thursday,19,81
Thursday,1,79
Friday,6,79
Friday,14,78
Monday,13,78
Tuesday,11,76
Tuesday,10,74
Monday,17,74
Thursday,5,74
Wednesday,6,74
Wednesday,7,73
Friday,7,73
Thursday,2,71
Monday,20,70
Thursday,20,70
Friday,17,70
Tuesday,7,68
Wednesday,8,68
Friday,5,68
Monday,19,68
Friday,19,67
Wednesday,10,67
Monday,5,67
Thursday,21,67
Thursday,8,66
Tuesday,5,65
Tuesday,21,65
Tuesday,6,64
Thursday,4,64
Friday,3,63
Monday,8,63
Thursday,9,63
Monday,15,62
Wednesday,4,61
Tuesday,23,60
Monday,16,60
Wednesday,1,59
Wednesday,3,59
Thursday,22,58
Wednesday,23,57
Monday,2,57
Tuesday,22,57
Wednesday,9,56
Monday,1,55
Wednesday,21,54
Tuesday,9,54
Thursday,0,53
Monday,4,53
Wednesday,0,52
Friday,9,52
Friday,20,52
Friday,8,52
Thursday,3,51
Friday,4,49
Tuesday,8,49
Sunday,21,49
Wednesday,22,48
Monday,0,47
Tuesday,4,46
Wednesday,2,46
Thursday,23,46
Monday,3,46
Friday,21,46
Friday,22,45
Sunday,22,45
Tuesday,3,44
Friday,1,44
Friday,0,43
Monday,23,43
Sunday,23,43
Tuesday,2,43
Monday,22,42
Monday,21,40
Tuesday,1,40
Tuesday,0,40
Friday,2,39
Sunday,17,36
Saturday,12,36
Sunday,20,35
Sunday,18,33
Sunday,19,32
Sunday,12,32
Sunday,14,32
Sunday,15,32
Saturday,3,31
Sunday,6,31
Saturday,21,31
Saturday,13,29
Sunday,16,29
Saturday,11,29
Sunday,13,28
Sunday,11,28
Saturday,18,27
Saturday,10,26
Saturday,23,26
Saturday,19,26
Saturday,16,26
Sunday,1,26
Sunday,3,26
Saturday,7,26
Sunday,4,26
Saturday,20,25
Saturday,9,24
Friday,23,24
Sunday,9,24
Saturday,2,23
Saturday,6,23
Sunday,10,22
Sunday,7,22
Saturday,15,22
Saturday,14,21
Saturday,8,21
Saturday,1,20
Sunday,0,20
Sunday,2,20
Sunday,8,19
Sunday,5,17
Saturday,0,15
Saturday,5,14
Saturday,17,14
Saturday,22,12
Saturday,4,12
