region.Region,region.Country,region.relevance,region.BidFactor,region.eCPM,region.eFlightSpend,region.cumulativeSpend,region.eCPA,region.cumulativeEcpa,region.eCTR,region.eCPC,region.eViewability
Karnataka,India,32.9,4.49,1.79,334,333.53,341.62,341.62,3.40E-04,5.24,0.4181
England,United Kingdom,28.05,4.33,3.16,4076,4409.7,708.91,655.6,0.00163,1.9,0.551
Gujarat,India,22.95,4.13,1.07,94,4503.24,292.07,639.08,3.40E-04,3.17,0.3932
Toyama,Japan,18.64,3.93,0.86,43,4546.39,288.74,631.8,7.40E-04,1.07,0.4865
Kaohsiung,Taiwan,14.89,3.7,1.03,46,4592.68,433.53,628.9,4.50E-04,2.26,0.4176
West Bengal,India,14.23,3.66,1.31,99,4691.4,577.88,627.73,3.80E-04,3.5,0.4076
National Capital Territory of Delhi,India,13.34,3.59,1.53,246,4937.14,719.32,631.74,3.90E-04,3.94,0.4277
Haryana,India,12.88,3.56,1.44,50,4987.53,701.45,632.37,3.10E-04,4.64,0.4186
Izmir,Turkey,10.84,3.38,0.44,15,5002.33,254.12,629.6,6.90E-04,0.68,0.1552
Camden,United Kingdom,9.7,3.27,3.72,333,5335.3,2415.42,660.06,5.20E-04,7.23,0.5803
Maharashtra,India,9.65,3.27,1.49,351,5686.46,972.93,673.43,4.00E-04,3.77,0.42
Tamil Nadu,India,8.84,3.18,1.48,174,5860.47,1055.12,680.74,4.00E-04,3.65,0.4345
Kerala,India,8.41,3.13,1.31,51,5911.77,978.7,682.54,3.40E-04,3.97,0.4296
Trafford,United Kingdom,7.42,3,3.5,150,6061.71,2970.36,695.8,8.10E-04,4.4,0.5669
Istanbul,Turkey,7.31,2.99,0.53,80,6141.96,454.19,691,6.80E-04,0.83,0.1763
Andhra Pradesh,India,7.22,2.98,1.19,44,6186.38,1039.41,692.66,4.00E-04,2.91,0.4345
Stockholm,Sweden,6.63,2.89,2.46,154,6340.71,2337.96,704.74,8.30E-04,3.13,0.4965
Cadiz,Spain,6.07,2.8,1.77,92,6433.07,1831.48,711.02,8.20E-04,2.15,0.5208
Telangana,India,5.94,2.78,1.49,174,6607.22,1575.05,721.45,5.00E-04,2.9,0.4272
Royal Kingston upon Thames,United Kingdom,5.66,2.73,3.75,235,6841.96,4168.94,742.51,5.90E-04,6.45,0.5779
Loire-Atlantique,France,5.63,2.73,1.14,141,6982.56,1271.12,748.78,3.10E-04,3.74,0.4037
Province of Misamis Oriental,Philippines,5.58,2.72,0.89,248,7230.6,1006.53,755.42,9.50E-04,0.94,0.5087
Wellington,New Zealand,5.57,2.72,2.5,236,7466.16,2822.75,773.29,7.60E-04,3.28,0.5334
Greenwich,United Kingdom,5.24,2.66,3.59,335,7801.1,4311.01,801.53,6.20E-04,5.86,0.5716
Hammersmith and Fulham,United Kingdom,5.16,2.64,3.67,390,8191.49,4470.78,834.15,5.60E-04,6.65,0.5596
Brighton and Hove,United Kingdom,4.9,2.59,3.62,586,8777.62,4643.61,882.5,6.40E-04,5.74,0.5845
Girona,Spain,4.81,2.57,1.83,56,8833.36,2391.44,886.03,7.10E-04,2.59,0.5095
Santa Catarina,Brazil,4.68,2.54,1.1,206,9039.18,1471.89,894.13,5.00E-04,2.28,0.4288
Central Singapore Community Development Council,Singapore,4.61,2.53,1.8,6342,15380.73,2451.51,1211.44,8.30E-04,2.06,0.4126
Leicestershire,United Kingdom,4.57,2.52,3.65,244,15624.64,5027.4,1225.96,7.30E-04,5.08,0.5968
New South Wales,Australia,4.56,2.52,3.68,9310,24934.7,5074.46,1710.26,6.90E-04,5.3,0.5945
Uttar Pradesh,India,4.43,2.49,1.38,103,25037.72,1966.31,1711.18,3.80E-04,3.62,0.4109
Cairo Governorate,Egypt,4.35,2.47,1.38,74,25413.42,1999.55,1725.65,0.00333,0.38,0.5051
City of Westminster,United Kingdom,4.35,2.47,3.59,302,25413.42,5189.5,1725.65,4.60E-04,7.86,0.5726
Parana,Brazil,4.21,2.44,1.05,318,25731.59,1562.09,1723.41,4.70E-04,2.3,0.4257
Bexley,United Kingdom,4.12,2.42,3.63,172,25903.94,5545.66,1731.35,6.50E-04,5.62,0.5663
Kumamoto,Japan,4.09,2.41,0.87,52,25955.58,1331.86,1730.32,9.80E-04,0.82,0.4755
Saragossa,Spain,4.07,2.4,1.78,91,26046.12,2744.21,1732.55,7.80E-04,2.24,0.5231
Nova Scotia,Canada,4.02,2.39,2.75,929,26974.92,4306.05,1768.95,9.00E-04,3.04,0.5628
Bucuresti,Romania,4.01,2.39,0.7,25,27784.69,1094.19,1791.94,7.50E-04,0.91,0.5992
Hamburg,Germany,4.01,2.39,2.15,784,27784.69,3367,1791.94,0.00289,0.78,0.4659
Saarland,Germany,3.9,2.36,1.93,151,27935.97,3120.01,1796.08,7.60E-04,2.71,0.4915
Antwerp Province,Belgium,3.84,2.35,2.99,200,28135.75,4900.71,1804.2,8.60E-04,3.51,0.5992
Ealing,United Kingdom,3.81,2.34,3.62,347,28483.22,5972.67,1819.69,5.60E-04,6.47,0.5634
Madrid,Spain,3.71,2.31,1.78,976,29458.82,3010.22,1843.84,7.00E-04,2.53,0.513
Rajasthan,India,3.64,2.29,1.29,39,29497.85,2235.36,1844.27,3.30E-04,3.97,0.4322
Southwark,United Kingdom,3.62,2.29,3.66,568,30065.5,6355.09,1869.32,6.50E-04,5.67,0.56
Aomori,Japan,3.58,2.28,0.84,31,30096.84,1468.16,1868.79,9.10E-04,0.83,0.4786
